,departure,arrival,continental
0,niger,nigeria,A flight from Niger to Nigeria is a continental flight.
1,niger,norway,A flight from Niger to Norway is an intercontinental flight.
2,niger,pakistan,A flight from Niger to Pakistan is an intercontinental flight.
3,niger,palau,A flight from Niger to Palau is an intercontinental flight.
4,niger,panama,A flight from Niger to Panama is an intercontinental flight.
5,niger,paraguay,A flight from Niger to Paraguay is an intercontinental flight.
6,niger,peru,A flight from Niger to Peru is an intercontinental flight.
7,niger,philippines,A flight from Niger to Philippines is an intercontinental flight.
8,niger,poland,A flight from Niger to Poland is an intercontinental flight.
9,niger,portugal,A flight from Niger to Portugal is an intercontinental flight.
10,niger,qatar,A flight from Niger to Qatar is an intercontinental flight.
11,niger,romania,A flight from Niger to Romania is an intercontinental flight.
12,niger,russia,A flight from Niger to Russia is an intercontinental flight.
13,niger,rwanda,A flight from Niger to Rwanda is a continental flight.
14,niger,samoa,A flight from Niger to Samoa is an intercontinental flight.
15,niger,san marino,A flight from Niger to San Marino is an intercontinental flight.
16,niger,sao tome & principe,A flight from Niger to Sao Tome & Principe is a continental flight.
17,niger,saudi arabia,A flight from Niger to Saudi Arabia is an intercontinental flight.
18,niger,senegal,A flight from Niger to Senegal is a continental flight.
19,niger,seychelles,A flight from Niger to Seychelles is a continental flight.
20,niger,sierra leone,A flight from Niger to Sierra Leone is a continental flight.
21,niger,singapore,A flight from Niger to Singapore is an intercontinental flight.
22,niger,slovakia,A flight from Niger to Slovakia is an intercontinental flight.
23,niger,slovenia,A flight from Niger to Slovenia is an intercontinental flight.
24,niger,solomon islands,A flight from Niger to Solomon Islands is an intercontinental flight.
25,niger,somalia,A flight from Niger to Somalia is a continental flight.
26,niger,south africa,A flight from Niger to South Africa is a continental flight.
27,niger,south sudan,A flight from Niger to South Sudan is a continental flight.
28,niger,spain,A flight from Niger to Spain is an intercontinental flight.
29,niger,sri lanka,A flight from Niger to Sri Lanka is an intercontinental flight.
30,niger,sudan,A flight from Niger to Sudan is a continental flight.
31,niger,suriname,A flight from Niger to Suriname is an intercontinental flight.
32,niger,sweden,A flight from Niger to Sweden is an intercontinental flight.
33,niger,switzerland,A flight from Niger to Switzerland is an intercontinental flight.
34,niger,tajikistan,A flight from Niger to Tajikistan is an intercontinental flight.
35,niger,thailand,A flight from Niger to Thailand is an intercontinental flight.
36,niger,timor-leste,A flight from Niger to Timor-Leste is an intercontinental flight.
37,niger,togo,A flight from Niger to Togo is a continental flight.
38,niger,tonga,A flight from Niger to Tonga is an intercontinental flight.
39,niger,tunisia,A flight from Niger to Tunisia is an intercontinental flight.
40,niger,turkey,A flight from Niger to Turkey is an intercontinental flight.
41,niger,turkmenistan,A flight from Niger to Turkmenistan is an intercontinental flight.
42,niger,tuvalu,A flight from Niger to Tuvalu is an intercontinental flight.
43,niger,uganda,A flight from Niger to Uganda is a continental flight.
44,niger,ukraine,A flight from Niger to Ukraine is an intercontinental flight.
45,niger,united kingdom,A flight from Niger to United Kingdom is an intercontinental flight.
46,niger,tanzania,A flight from Niger to Tanzania is a continental flight.
47,niger,united states of america,A flight from Niger to United States of America is an intercontinental flight.
48,niger,uruguay,A flight from Niger to Uruguay is an intercontinental flight.
49,niger,uzbekistan,A flight from Niger to Uzbekistan is an intercontinental flight.
50,niger,vanuatu,A flight from Niger to Vanuatu is an intercontinental flight.
51,niger,venezuela,A flight from Niger to Venezuela is an intercontinental flight.
52,niger,vietnam,A flight from Niger to Vietnam is an intercontinental flight.
53,niger,zambia,A flight from Niger to Zambia is a continental flight.
54,niger,zimbabwe,A flight from Niger to Zimbabwe is a continental flight.
